epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.863,1.77317,1.98451,1.32272,0.73222,0.92694,0.82558,0.41218,1.44493,3.73411,1.20608,0.00022,0.00022,0.00022
2,299.619,1.57663,1.00995,1.22454,0.6767,0.94915,0.73815,0.40755,1.37005,2.6794,1.25276,0.00044482,0.00044482,0.00044482
3,454.549,1.63423,1.08095,1.31231,0.73903,0.94915,0.84024,0.45577,1.44418,2.17713,1.27635,0.0006538,0.0006538,0.0006538
4,604.121,1.64983,1.19294,1.28165,0.05095,0.65254,0.05512,0.02918,1.54202,27.9169,1.31426,0.00084694,0.00084694,0.00084694
5,749.012,1.58186,1.09583,1.242,0.25761,0.94915,0.26851,0.14399,1.45928,37.6833,1.31622,0.00102424,0.00102424,0.00102424
6,893.711,1.6656,0.95191,1.32179,0.77808,0.92113,0.88263,0.43277,1.62351,1.94671,1.36286,0.0011857,0.0011857,0.0011857
7,1036.46,1.57379,0.89771,1.24371,0.75396,0.96088,0.82216,0.4632,1.39228,3.07329,1.35171,0.00133132,0.00133132,0.00133132
8,1180.06,1.56394,1.02635,1.25818,0.74656,0.94068,0.76208,0.43507,1.38539,1.53678,1.30502,0.0014611,0.0014611,0.0014611
9,1325.52,1.57946,0.96731,1.27115,0.75561,0.96946,0.79602,0.46654,1.33558,2.26007,1.26378,0.001472,0.001472,0.001472
10,1467.18,1.55808,0.8366,1.21755,0.48458,0.90678,0.48946,0.25674,1.54522,3.7803,1.39738,0.001406,0.001406,0.001406
11,1617.74,1.55048,0.80995,1.25516,0.84132,0.89863,0.88006,0.50298,1.40543,1.25198,1.28949,0.00134,0.00134,0.00134
12,1762.21,1.49835,0.73364,1.23184,0.8423,0.90527,0.86193,0.51164,1.36204,1.35724,1.24287,0.001274,0.001274,0.001274
13,1912.32,1.45742,0.7755,1.21957,0.86304,0.90781,0.90423,0.50964,1.37549,1.02699,1.26237,0.001208,0.001208,0.001208
14,2060.13,1.48318,0.77338,1.22136,0.92636,0.85287,0.90947,0.50505,1.37665,1.01552,1.26408,0.001142,0.001142,0.001142
15,2200.11,1.46353,0.71722,1.23298,0.84731,0.92373,0.89663,0.51075,1.33517,1.15092,1.23753,0.001076,0.001076,0.001076
16,2364.57,1.48867,0.70612,1.23266,0.90061,0.88136,0.89772,0.51121,1.3501,1.13209,1.24093,0.00101,0.00101,0.00101
17,2509.01,1.4732,0.68622,1.20549,0.88488,0.90678,0.91618,0.54931,1.31667,0.94341,1.24474,0.000944,0.000944,0.000944
18,2650.84,1.41303,0.69477,1.21152,0.84734,0.94076,0.92216,0.54243,1.31719,0.94812,1.24392,0.000878,0.000878,0.000878
19,2790.54,1.43889,0.68322,1.22818,0.85197,0.92671,0.92226,0.53065,1.33315,0.89883,1.23929,0.000812,0.000812,0.000812
20,2933.5,1.41612,0.70253,1.22454,0.84441,0.90678,0.90095,0.51925,1.30379,0.91138,1.22389,0.000746,0.000746,0.000746
21,3090.52,1.42112,0.65984,1.24924,0.7827,0.97458,0.91612,0.54807,1.25246,0.90955,1.20121,0.00068,0.00068,0.00068
22,3228.83,1.42752,0.72886,1.22812,0.87997,0.8698,0.91661,0.54898,1.25742,0.90363,1.19811,0.000614,0.000614,0.000614
23,3371.25,1.39153,0.65205,1.20496,0.89338,0.8521,0.92351,0.53433,1.25024,0.97893,1.19599,0.000548,0.000548,0.000548
24,3798.28,1.4014,0.65582,1.24997,0.88459,0.85593,0.91906,0.52718,1.2291,0.97044,1.19041,0.000482,0.000482,0.000482
25,3942.03,1.37174,0.6419,1.22535,0.85561,0.90393,0.90556,0.52701,1.22467,0.92265,1.18511,0.000416,0.000416,0.000416
26,4084.69,1.37277,0.61517,1.21967,0.8742,0.88983,0.90149,0.5397,1.22818,0.90853,1.18319,0.00035,0.00035,0.00035
27,4226.32,1.372,0.62029,1.23687,0.88071,0.94068,0.91632,0.55491,1.23131,0.89522,1.17416,0.000284,0.000284,0.000284
28,4369.5,1.35428,0.60325,1.21081,0.8788,0.94068,0.92002,0.56358,1.22929,0.88497,1.17154,0.000218,0.000218,0.000218
29,4513.46,1.33005,0.60889,1.21518,0.87557,0.95415,0.92143,0.55946,1.22849,0.85125,1.17346,0.000152,0.000152,0.000152
30,4660.3,1.35291,0.62022,1.23438,0.87089,0.97176,0.92339,0.56063,1.2297,0.8396,1.17564,8.6e-05,8.6e-05,8.6e-05
